Serial Number,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
612,12672,15726,17405,25861,28698,33247,36222
613,18772,20140,24692,29884,34932,40803,46831
614,23876,31217,40612,55215,117185,128275,155723
615,42107,50432,62315,71998,80179,83675,91980
616,217790,43175,25467,27311,31240,33873,40972
617,35656,39048,50400,69920,73255,83495,104634
618,15240,18316,18032,20930,24050,27577,29258
619,39518,44491,53670,61811,60663,71042,95178
620,20919,25690,30059,33578,40722,46973,54508
621,41204,46827,51188,57415,62590,69387,80521
622,33624,37993,40926,53542,63400,76264,89595
623,34591,34155,38745,44244,54572,64264,74840
624,52285,58253,67740,100357,96375,118696,147457
625,119382,151195,186547,226982,268446,273078,337090
626,8706,9727,11283,12750,13408,14613,16021
627,15543,17480,22131,23905,27204,30786,36854
628,28468,28866,41002,33895,39673,42145,123887
629,58228,55589,65466,92048,93858,118576,128365
630,13459,15136,20489,23904,24557,28322,30560
631,66968,69594,69091,89929,105996,108930,129251
632,31906,35208,49047,49468,58450,71864,86494
633,20653,24995,31702,36787,48391,57744,62712
634,38517,47266,58475,68727,78112,89341,109009
635,90334,108987,128298,132326,150005,263483,313002
636,19111,20821,24981,30264,31209,32351,38745
637,70938,63773,71848,83876,102994,127461,152600
638,33671,34760,41781,47315,51673,51099,62561
639,32019,36732,47396,58261,66021,72526,83485
640,75152,86608,111976,130490,159675,163240,209959
641,21294,21394,22106,33048,35615,41003,47195
642,18281,20058,23062,27813,29617,33952,36931
643,17613,22368,27083,34591,36342,41680,46473
644,53646,65083,76048,94581,106969,128891,144593
645,54055,60690,63551,77433,65127,67490,78869
646,16294,14029,20818,19718,20234,22862,23038
647,41606,50827,61798,70121,78726,88549,103760
648,25455,34985,47362,59270,67342,69582,73534
649,27252,32613,41607,51969,56573,60312,65713
650,29035,35521,75216,80064,69579,79105,82522
651,13689,17777,18479,19146,31259,31312,42037
652,32222,30443,36954,47837,62830,67518,84326
653,46652,58632,80488,92128,105951,121976,132354
654,33082,35322,39991,44999,94000,101666,112466
655,18495,23785,31266,41854,47643,49965,54432
656,38112,43923,56356,74940,90607,163690,195313
657,27496,27576,34571,43139,50618,53342,60862
658,20643,26011,31809,41381,46160,49352,54038
659,89091,82025,79668,92889,110400,116970,125481
660,81423,88175,98727,108412,118058,137910,135268
661,68242,87636,110523,123564,191563,178725,216358
662,17194,18395,23496,24399,27684,29775,34597
663,95906,121828,110901,140681,137811,185721,192730
664,44184,62387,73042,95745,117726,150084,183322
665,41537,52930,60782,80803,88558,108574,131325
666,48649,53480,71646,79837,86011,117038,137976
667,16867,20805,26315,32800,41142,67890,82428
668,32996,38922,50551,48367,54358,68503,87717
669,91392,93887,105187,112010,126858,135594,147865
670,202312,228723,243750,305686,313033,273982,333751
671,42605,56514,72615,84287,92618,107516,112761
672,15539,16574,21087,21182,22371,27262,31139
673,16509,20034,23697,42317,44869,48107,53655
674,13248,14789,22674,20610,19949,20868,22849
675,18829,23348,28921,35181,40503,47373,57471
676,25092,52289,56079,60004,64652,69921,77084
677,43402,36187,49886,43364,47114,53734,65836
678,19108,25570,32006,41760,53591,69671,84224
679,13272,15041,18080,20851,24023,28563,33821
680,29488,38397,43075,50449,60152,70133,86091
681,41023,49012,54225,61770,76826,114042,122728
682,31473,30549,34988,37283,40312,40854,45054
683,63730,68557,76651,84870,90557,489714,3764612
684,85400,91578,99536,99579,106680,109606,118746
685,20458,21174,28661,35125,37510,41387,47083
686,10644,12161,15860,16502,18390,22643,24060
687,40061,44362,51307,57870,62419,63827,66504
688,16565,24424,30546,35598,38018,42088,51458
689,14633,22487,28705,37508,39015,45889,48743
690,17070,16369,19486,20031,21758,25466,80038
691,61800,67827,78770,85132,93628,97253,116371
692,99267,134003,170213,190475,194190,204693,234945
693,30255,38652,48011,60402,72613,78493,94935
694,28647,31389,38680,45361,45512,47923,43128
695,33085,37293,49491,64029,73476,80820,99312
696,20962,25466,33314,37811,46988,57635,55710
697,13440,13730,20120,20204,21312,24356,31251
698,14239,15935,18374,20934,23373,26149,28817
699,22223,28791,34535,40193,41753,49262,53812
700,8883,11650,13457,14304,16743,19154,22048
701,14415,18135,22374,21519,26101,28862,35222
702,19009,24771,28315,31548,37297,45293,49549
703,34616,35109,42851,44995,52490,62634,71494
704,19441,21506,21201,28543,27966,27184,31478
705,45719,53925,69385,83554,93457,99179,130862
706,54938,70110,73371,79545,93089,118096,159753
707,52878,54753,59497,67461,71853,82809,100051
708,23856,20485,22124,25118,27107,32849,32891
709,49504,45696,54713,60508,65703,73238,81258
710,21823,27101,37322,48264,54107,57333,67002
711,31408,36197,42291,44903,48660,52654,59535
712,20065,23049,27537,29648,30827,37161,41376
713,16581,21089,26786,30968,37836,44752,49162
714,9013,10564,20366,17868,18881,21108,26395
715,23639,31630,33644,44003,58986,58910,53665
716,74415,69484,76094,80831,86417,94233,106384
717,16368,18452,20969,22350,27503,32128,36191
718,11559,15292,17802,19242,21813,23698,32146
719,23603,26183,31918,36670,40355,45752,50853
720,23354,24416,28832,38829,46474,45564,53614
721,28504,35493,42435,48635,56154,61424,66866
722,10177,11697,15175,27359,29305,32221,36473
723,12456,16943,29326,29470,26303,31036,34206
724,37633,44583,62646,75679,85793,93740,101343
725,21376,31109,35266,39525,42129,53363,71470
726,23403,27435,34204,29964,35211,43735,49440
727,14560,16068,19593,22826,24380,27668,32042
728,20864,26597,35086,34248,38120,42400,51056
729,13259,17158,21800,26779,32535,39658,48839
730,26292,30346,40768,48602,58648,64279,75648
731,274988,293706,308520,337764,363635,402531,408087
732,24424,29176,36056,46345,54527,67490,75197
733,102098,111553,120889,156407,158202,198611,213162
734,934034,951170,952156,1002316,1047649,1098648,1158172
735,199542,225312,315875,351514,368835,407720,466017
736,81893,95014,102416,112085,137502,196281,196743
737,162164,213664,264688,304462,341355,371035,421864
738,83732,97051,122387,137203,146185,148886,159187
739,57620,60117,60571,63365,71971,76317,83452
740,48002,50715,61172,67280,67142,84623,92661
741,77750,82443,96107,109568,108991,119238,132342
742,72091,78105,85221,93824,96273,107020,120815
743,44973,44346,47753,55666,63538,69385,72595
744,145020,139699,137216,145246,143583,146112,157955
745,46028,45986,59601,68237,74704,79594,96527
746,53519,57011,65652,71311,76842,82074,94382
747,76328,85236,94971,116478,105971,114041,126264
748,66929,73181,84670,94111,94087,111149,195495
749,35090,36864,42805,48464,55921,56791,71561
750,31845,36628,40870,63874,57243,72112,81731
751,58648,72746,78489,84663,90965,99664,104878
752,17598,19700,20120,21488,24544,28232,31015
753,27002,30063,30689,31066,38594,41468,41760
754,65658,73748,78620,88265,90254,90870,94323
755,50878,48989,52541,53605,53733,68530,57031
756,40991,45487,48974,52741,56713,58624,76804
757,62693,71978,83102,93431,89491,99933,113378
758,53524,55982,56171,55817,62598,61901,64156
759,27634,27799,30994,33624,39099,40418,43633
760,16628,17800,20254,21835,24258,25476,28633
761,32224,31681,32166,33354,33323,35615,37943
762,59678,62335,67851,70042,73429,80728,85743
763,34783,38008,37260,39330,43832,48370,51653
764,45139,48701,55198,64744,72098,74879,84570
765,45511,51970,52423,54854,61582,66709,67176
766,69523,80408,86815,106875,109599,117959,126928
767,37184,37645,41230,40501,45939,45543,48370
768,48309,52290,53505,84884,93340,111202,131416
769,49668,52791,63973,75193,76820,83350,92730
770,58801,71669,75676,105834,105556,110389,99321
771,44668,51349,62229,76004,82190,81220,87724
772,29730,35939,36779,40379,42063,51857,56898
773,24685,24512,28374,38608,42463,48239,57187
774,38665,42580,46511,50030,55549,58630,65509
775,57323,60112,69293,81438,90390,104111,117773
776,31809,33784,34369,39603,44188,44352,48906
777,41431,46251,52043,60982,69029,75180,88373
778,139110,140833,144495,178366,218185,220389,229599
779,22695,21945,26281,30861,36570,35664,40097
780,36333,37393,40544,45065,51566,53494,57485
781,22526,23531,28077,31434,35639,41562,44653
782,33288,38107,44281,51456,55621,60383,65936
783,54792,62621,67469,75985,82827,99582,109889
784,31828,35496,38230,44365,51232,57717,67036
785,77845,80041,85332,91139,97632,107580,117143
786,29916,37624,36847,43505,42848,45979,45080
787,29339,34861,38459,47582,47451,51334,57007
788,68376,64252,68635,77439,82488,92885,105000
789,30735,30152,33166,40063,40138,42689,48055
790,45719,50178,56888,70998,74898,72311,79325
791,83294,87758,95847,105671,114494,125674,139670
792,29696,29666,31843,35524,38210,40407,46432
793,39244,40744,47175,51326,54113,58690,66506
794,27604,30440,34356,35500,37901,41537,44741
795,21230,20711,24474,28869,34795,40275,44052
796,33912,33656,36133,40690,42096,47464,48737
797,35591,36077,45025,53131,51947,63745,68452
798,24974,29782,32613,35842,42115,61816,68313
799,18824,21261,22806,27746,27682,29894,32316
800,36918,40012,43430,50595,50059,58017,67866
801,49146,52105,64013,74820,83104,92202,106966
802,25503,28310,31750,39712,39711,40318,41557
803,20166,21101,24825,28029,32595,34778,35919
804,8407,8107,9557,10839,11661,13287,22689
805,35107,41408,47177,50221,55731,59561,68028
806,38610,41017,44148,50997,58002,61939,65483
807,72576,86878,101999,115607,132556,157105,185648
808,280689,293015,300104,318872,323736,332607,366794
809,139671,139798,159314,153954,160274,173094,182124
810,68135,68040,76559,87474,90723,103617,104412
811,78281,79563,88134,106705,135317,148358,172881
812,44492,40452,44073,49155,49595,53013,63630
813,53663,53797,61617,63985,71516,77475,86864
814,68265,74515,87464,100839,114848,128351,157231
815,28703,38888,36632,26811,29932,33547,37129
816,44913,45197,66316,73784,87378,91991,102162
817,26716,27314,30976,35981,33354,34508,39528
818,31215,32531,35871,44230,42034,46996,54296
819,111704,111517,121623,113370,111326,115351,121149
820,76226,88051,128241,68688,78638,72115,70149
821,216205,238819,256015,293242,320955,315728,357437
822,87049,91138,97803,131128,131600,145069,167630
823,28328,29440,33732,35887,39637,43679,50691
824,164793,170194,173524,192091,189113,196659,200702
825,28941,30313,33989,44337,49973,55536,67230
826,38935,60411,45527,56919,69197,141234,155071
827,30572,32846,39902,43829,48906,50274,50911
828,47867,51364,57838,69525,76608,81272,84802
829,42092,44014,50129,58038,59676,62218,68066
830,20929,24722,29165,31160,37223,49126,52188
831,38485,39620,45601,52202,58309,63021,70485
832,39938,43212,44712,51264,63806,78339,83692
833,128512,123525,127606,134979,133842,138515,150922
834,49246,54688,65779,70666,79351,88294,87411
835,29650,30388,32593,34596,79498,82243,90163
836,75733,86999,99377,111910,120267,131270,151191
837,72223,70021,69044,76328,79347,79685,90431
838,46674,46979,52556,54993,58988,61849,64932
839,69083,71859,77764,86387,93097,95538,114429
840,23114,26757,32616,37519,48314,58648,65908
841,27463,27357,37023,40024,41382,53047,67034
842,125964,117634,127002,148795,161402,168498,189186
843,72430,80696,85197,81391,88181,89928,114154
844,39904,34355,37971,67591,71481,72997,74939
845,36861,41939,45233,50529,52333,57761,77339
846,26821,37463,34884,35274,42378,48176,58426
847,0,0,0,0,0,0,0
848,183442,194342,204628,300469,320183,390234,408883
849,72825,74091,81316,91745,97543,113914,121118
850,148319,144777,157435,164072,183722,199940,219347
851,15741,16535,18499,21697,21911,22077,25548
852,58378,72877,79600,87643,91728,97099,111346
853,42848,46082,49389,55901,56385,67211,73186
854,36428,37748,39249,45769,47504,49777,54203
855,56208,65774,69048,79767,76678,92610,105790
856,21679,24079,26233,29347,32677,39470,45129
857,67087,66258,73639,81526,88502,93824,105481
858,34190,38558,44635,47164,51283,62164,64560
859,37626,41376,48482,53578,60839,64041,72644
860,57676,69414,79584,90350,117210,129572,150104
861,37929,38070,45467,55435,58105,72792,80051
862,70137,76096,85780,100061,107645,118828,131572
863,69594,64274,63974,64519,68873,73340,108664
864,32457,35896,46248,49940,56717,59132,65708
865,82700,79823,88271,99988,103201,109505,115122
866,29433,29110,31902,38103,38078,44958,50269
867,278428,306622,338917,365918,354640,373723,390111
868,483931,470615,562078,579594,602812,623126,646175
869,140982,165248,201462,242800,270276,302468,333867
870,34954,39015,40592,43750,43920,48833,52675
871,28799,28668,33001,38965,49302,51878,83533
872,24542,29715,35300,41253,43562,51512,53746
873,22324,28891,34343,43888,46044,46847,44439
874,20495,24227,27390,31711,35538,41757,49607
875,43359,47774,57635,70604,79827,85559,98327
876,25350,48406,50950,52909,56096,63837,67410
877,64850,65270,70497,73570,72247,74100,86433
878,39939,38775,46201,52024,58217,60769,78745
879,114987,121855,141091,171304,179721,194548,210105
880,19521,19361,23510,24817,28103,34412,33040
881,31712,40254,47903,58249,64463,68197,85929
882,162846,156746,167858,234211,257301,264487,298881
883,58427,72940,107880,131453,147631,169942,216734
884,41046,46975,61240,69882,78920,87836,103300
885,30031,31656,38760,43618,48616,53809,61869
886,23954,23671,29386,36557,39776,45025,53914
887,35362,39522,39526,42162,46575,51445,55399
888,17455,22220,21484,25537,26314,31619,55833
889,33655,38710,45557,53046,65436,71222,82558
890,82040,93491,97563,119313,129453,138165,144053
891,23848,27478,30329,36979,37410,65843,72141
892,44130,45898,43581,54018,55251,59887,66998
893,31214,39732,44050,48032,49076,52670,56826
894,56095,58215,80322,81313,102330,96767,110893
895,62905,75418,72121,81385,86619,99170,97109
896,206319,203030,265043,269769,270547,264501,264519
897,29327,40376,30910,32280,42435,49498,42729
898,41865,35777,51244,48316,55730,62114,59814
899,53412,62211,75891,93442,73647,84104,94666
900,52572,54558,56350,58307,63839,66315,71631
901,35033,40381,44182,79238,113711,119413,126097
902,38353,41269,40454,46120,47108,52251,62874
903,23997,26532,30585,32290,32223,32323,38676
904,44970,45713,56186,61794,78089,110622,122859
905,37940,49739,48875,56145,90732,92706,105457
906,80765,98248,83671,72514,94590,98806,98370
907,69509,67519,77151,90337,99459,110246,124105
908,39201,45117,64506,73121,77252,78167,83004
909,48801,44596,47836,51948,53836,56737,62044
910,12875,39741,57107,62745,90313,89299,88074
911,23058,25561,27564,32409,38603,44587,50078
912,53043,59658,58762,73225,87309,86983,90397
913,33953,36353,41029,43058,48181,49715,52826
914,16729,18733,21126,21623,24062,29010,31259
915,18171,18682,19927,20098,20861,21678,23948
916,39322,42280,50763,52245,54801,55576,62495
917,12925,13734,14831,17411,19063,21814,26571
918,33317,40516,43199,45019,50755,54446,59486
919,35359,35260,42135,46031,53380,58314,69298
920,46634,45620,47952,52550,57534,62872,66701
921,53325,55617,59080,73348,89306,129240,149096
922,37328,36002,38649,39484,43791,42043,68676
923,26442,30801,33749,36662,41611,43486,48352
924,42352,49514,55189,66136,73808,83636,87534
925,103145,111288,129634,147331,153237,160756,186989
926,29873,29923,34713,37531,41752,46139,49274
927,64691,64334,72619,83782,98616,111661,121667
928,43172,48913,57224,59854,68242,73158,79110
929,47634,50127,51137,57310,60065,66221,69066
930,41257,59694,66824,74288,99026,109978,98697
931,64634,61760,77440,87592,102548,112806,117769
932,42857,44369,58692,62904,64526,65534,71721
933,43348,48034,54632,56141,65678,62351,67691
934,36161,35169,76496,93687,78698,159505,170117
935,27224,29656,31762,34002,35961,38315,41123
936,39112,47513,62263,74773,75840,90287,86794
937,50048,59282,60490,60209,67343,81811,86016
938,34205,37064,42115,44521,51509,51356,58598
939,43217,38670,44654,43613,46592,48530,56704
940,20970,21467,23995,30146,34005,34168,38006
941,26995,30512,30382,43602,59576,57368,60322
942,27202,27074,31311,44479,45445,55456,95902
943,53823,54075,57591,72329,83931,81574,89017
944,7558,8067,9204,9178,10379,10318,11323
945,57567,66040,80602,94133,104408,108657,138490
946,20000,27378,26263,31094,33430,37660,43826
947,59094,63964,71258,92457,104063,129834,197327
948,38073,42567,54875,72687,98960,140078,192462
949,58710,51373,59909,73542,68198,76003,80891
950,56476,55505,64738,74177,84919,94504,111818
951,17940,21414,30061,32527,37302,42126,51867
952,43341,50919,60741,71646,82040,101025,141597
953,53826,50556,48380,45648,42536,45575,44994
954,27676,30782,34143,39720,41115,42274,43711
955,21700,23131,28317,28412,31185,30538,34195
956,31559,37728,43099,44499,45674,51781,86866
957,37639,35814,39032,39310,44444,47714,51196
958,17481,20909,24387,32069,40380,47050,58235
959,16899,20111,22567,26423,30790,34359,45380
960,17168,20383,25064,25845,30558,32172,37787
961,46734,54514,58574,62741,132733,122112,115932
962,26268,31186,33414,37989,53238,49273,67623
963,122803,148954,187610,227525,266601,338964,319054
964,20980,23098,37511,29964,29923,33954,43454
965,61503,64948,70658,84868,94236,102911,114678
966,14796,16800,17601,21567,26863,29100,36258
967,11380,15382,28271,46879,75800,78842,80169
968,46581,56998,74310,68338,70507,87148,83931
969,86602,103107,146617,179569,222952,273966,282216
970,37554,41035,54291,58544,63370,66257,73221
971,24052,28154,38431,47570,50614,60784,71014
972,37367,56885,80561,87551,92768,100936,131499
973,31521,31279,37002,42623,44469,48346,54426
974,22524,24975,29702,33780,38704,42968,55829
975,27514,31446,37193,42009,50253,57662,70223
976,57258,74756,102363,150337,187678,238739,314985
977,18847,21025,25058,27311,30602,33458,40493
978,13784,16397,17924,21204,28457,29684,35204
979,20448,25564,32058,34174,83110,86842,97531
980,9473,11836,14068,16682,18321,22158,26592
981,25019,28445,37368,46035,48621,54999,61418
982,20031,24893,30421,35142,51285,50061,54058
983,6400,7326,11206,11582,14126,16631,21004
984,17225,35269,49181,58591,68001,100148,101846
985,52683,67186,90361,95621,117703,149968,196650
986,13698,16087,20698,24268,28419,33488,38383
987,14679,16269,19060,26297,29430,31725,32237
988,24294,25718,29474,31980,35320,42914,48272
989,22610,29823,42995,43533,45978,60889,66036
990,17369,22891,27297,31267,36033,40016,46024
991,27079,31015,37793,41854,43214,54025,59837
992,26649,25830,27667,32953,40049,39595,43240
993,41263,47604,54579,64109,73514,85125,91023
994,54275,63647,74481,90225,124377,126690,122191
995,89800,101880,119392,139089,155167,165358,182523
996,26293,30075,31754,35123,38067,38216,42873
997,18987,21337,27741,31107,37249,45194,49740
998,11174,13691,15419,18355,19970,23067,24043
999,18977,23013,31639,39334,48632,57751,67992
1000,12936,13076,15690,19976,21728,24491,28071
1001,22997,28348,35109,42224,44379,49416,54272
1002,23087,29342,37495,42805,54044,60401,61519
1003,14227,19164,26438,29848,39622,46482,58637
1004,12836,13317,13841,18014,20443,23729,24298
1005,6166,8202,8705,11474,11962,12556,14519
1006,26682,28742,38778,50840,58350,62223,70170
1007,11765,13650,18487,24217,29533,33071,48522
1008,27292,33678,38070,48725,53100,58445,66808
1009,9657,12621,13512,16706,19469,19538,23899
1010,40241,52216,72422,80536,84926,91316,105089
1011,26787,33991,43889,52116,62174,78706,101884
1012,16124,20096,30509,35570,40104,46606,47651
1013,97618,98193,107756,112183,106433,122509,104194
1014,143396,157179,180003,195474,246026,266286,281343
1015,16823,19195,22941,28734,35499,42351,49365
1016,59878,69896,82456,105795,113508,116941,137168
1017,20644,26240,33185,53906,64588,68418,73499
1018,75930,82155,90112,102692,115230,113259,123554
1019,35262,39188,49860,62776,77073,79877,97110
1020,17608,22891,33796,37773,54116,61248,71861
1021,22584,29041,33946,42477,45336,50395,55491
1022,15541,16903,20061,20367,22858,24480,27517
1023,17867,20202,26109,28735,33197,37694,43269
1024,22863,30357,38400,41260,40051,44945,55763
1025,576752,603937,705698,731459,762089,845549,898333
1026,169426,182927,180158,169807,195031,314088,333926
1027,293534,285505,378674,440034,434998,413382,477431
1028,30362,34381,43616,52076,62365,61471,63586
1029,18063,22039,29290,33764,38258,52943,70930
1030,44208,47874,49804,56368,59397,63807,79073
1031,71361,67918,75924,87577,96855,102530,113747
1032,22557,26789,31787,41038,45205,57618,73032
1033,11886,15442,19910,25859,28772,36086,58219
1034,10341,13050,17527,25363,26692,33526,40911
1035,30534,36149,41221,52097,57688,66865,76091
1036,11479,14324,19393,23600,28828,34594,36474
1037,26799,34301,42853,56555,61783,74667,87206
1038,513287,559941,649532,708536,748375,764518,826108
1039,393305,405226,440686,475816,483325,535860,581462
1040,11705,14876,17439,24911,29173,32042,38809
1041,17853,27235,36759,45347,64981,63627,73115
1042,4067,5165,6159,6946,7986,8803,80801
1043,12284,16305,19697,21899,24658,27855,32055
1044,28100,136309,129737,139864,155273,161185,189576
1045,9122,13171,17432,21332,26593,30622,36517
1046,20512,25991,33208,38768,69002,79374,92359
1047,10855,13595,17085,21227,23966,29126,34330
1048,50024,56797,60745,74604,86804,95560,111508
1049,13144,17783,23816,28796,34272,44904,58117
1050,18829,21850,31458,37342,44872,55111,61227
1051,13881,20563,23962,29060,37097,39371,54863
1052,5957,7996,9911,12430,13827,25128,36327
1053,12361,15139,17300,24026,27058,32960,35694
1054,35697,42478,57833,80306,92917,108170,136212
1055,25677,32643,42880,52505,66702,71739,83531
1056,42763,51215,56722,66332,89795,102857,206952
1057,32920,37657,54862,73371,83301,89950,103321
1058,35525,35423,31501,32142,37352,39065,35899
1059,119296,137018,160810,204779,251930,285947,294777
1060,9814,14684,17502,22550,27286,32917,37585
1061,43939,61357,80036,99052,117449,122800,150436
1062,35574,42792,51799,64843,67579,84213,94816
1063,8197,11438,10528,14827,17888,25206,29942
1064,34190,54492,62563,80059,80452,102720,139322
1065,32800,37049,51854,71400,92485,178938,133195
1066,54393,64114,73097,89589,115105,127811,155649
1067,117720,122457,156327,177839,233181,242490,246941
1068,62473,73537,80497,91663,95211,110936,116177
1069,38848,44358,50012,58475,67702,82941,96448
1070,24941,27915,36792,47042,57245,62132,73828
1071,32208,34993,36887,43118,54652,110459,105289
1072,19664,21148,26335,29149,32228,33636,37165
1073,117292,140418,133448,144806,161933,172783,187362
1074,13758,17947,21767,24824,27306,29196,29384
1075,29251,34751,48461,59296,100366,119501,146763
1076,7281,8455,9856,12259,12187,14283,15591
1077,6368,8698,12523,12967,16374,23010,23639
1078,16239,22366,27437,35208,43150,53713,65451
1079,13212,16853,20519,25210,37924,43917,49405
1080,29160,54026,60463,71544,96382,109495,128273
1081,28013,41880,58588,65399,69937,77296,86905
1082,31666,34819,40742,47376,51855,57568,62422
1083,7394,10389,12675,15057,17647,21782,20177
1084,17019,20839,25289,31653,38340,49130,59131
1085,28313,34950,45425,53500,60860,75965,79779
1086,56322,65406,67583,78721,90719,100825,119972
1087,446670,461807,566540,681286,843866,784729,867596
1088,15064,17055,24590,43459,40501,69464,73858
1089,17563,22456,25739,32400,36734,41565,45963
1090,28648,44565,44597,46269,49979,55452,54947
1091,14071,15820,17886,22960,25643,29788,37648
1092,30022,31870,36020,38954,48889,52652,50693
1093,16167,22022,30916,38023,46870,55458,66665
1094,28612,30812,36480,40824,44393,51816,55950
1095,16370,21422,32963,38111,48686,59666,69551
1096,39522,49430,52139,61872,71331,67122,75807
1097,15039,19591,22037,25194,30666,39882,56918
1098,11579,10146,11579,15929,17732,19206,21881
1099,16349,21152,35381,38697,35138,41510,46310
1100,23582,36034,49717,84894,106680,127008,197411
1101,14351,20234,28335,35081,41978,53052,58353
1102,10258,13841,17033,19992,25544,32598,38014
1103,17699,23584,32078,40850,55425,69426,79832
1104,31045,37282,67279,83544,81208,96400,113055
1105,15700,18532,22833,26528,28414,31855,35840
1106,6004,7256,9809,11596,15436,15733,19270
1107,33767,39166,44972,50394,56892,62152,71639
1108,12941,19670,25579,30263,35082,43078,49457
1109,25583,33468,47549,63352,78898,97042,105205
1110,56120,92011,88847,98431,118564,134985,154320
1111,24968,38350,42082,61558,85759,153757,132630
1112,19110,24970,30500,37100,63295,73053,82273
1113,15948,21073,31414,45155,62210,71797,96923
1114,19853,31507,30022,33678,42251,49013,57519
1115,15015,23849,25616,28848,34068,39766,49147
1116,15209318,17537788,21265872,22966580,26173793,26944549,25414792
1117,28771,29752,35262,43359,46839,55039,64438
1118,22754,26262,31066,35791,42282,61229,58036
1119,24325,39745,46442,58516,86993,93274,110190
1120,14274,15475,18996,22121,26961,30652,38910
1121,40115,51052,61864,75883,86409,99381,113075
1122,7843,8062,9779,12682,24348,28091,32978
1123,27633,31235,36453,46832,55368,60098,218912
1124,5951,9720,14374,17695,23939,27716,38443
1125,32290,43363,57147,62629,73656,117708,128356
1126,23668,36719,58611,75862,88769,106438,127310
1127,14546,20768,26023,30932,33896,38639,42755
1128,19757,37271,31695,39616,54792,66336,79204
1129,14780,25253,33456,42073,41216,46984,57093
1130,52641,100575,98434,110137,120450,122627,139663
1131,39857,45927,51638,62583,72730,76282,79140
1132,22447,23883,44306,49455,54427,57798,68154
1133,17594,18752,24079,25090,25005,25837,29063
1134,20530,23671,27571,33679,39896,44308,47947
1135,21992,25199,33507,41435,67260,67196,97315
1136,24357,51469,79836,83768,110976,108996,174054
1137,21688,30376,37722,43162,51984,60755,69023
1138,52531,61125,77336,86163,100717,120563,127501
1139,28450,21117,29937,34773,49566,56333,63965
1140,17650,21691,24305,27193,31609,43627,51533
1141,9162,11662,18002,23168,27212,35413,42746
1142,37196,45461,45914,48272,52915,52650,55150
1143,49602,46110,52282,58240,66965,67151,86200
1144,15776,20624,31624,39330,46107,53727,60053
1145,16027,21093,27607,36114,41328,61675,93845
1146,12216,18399,24953,33225,47754,63788,55107
1147,11315,19697,21637,25496,25844,29492,73025
1148,7005,11107,16806,21406,25827,30939,34868
1149,12955,18026,19528,25888,47089,54040,59307
1150,10339,10030,12589,13515,13894,15785,18421
1151,15848,16989,21264,31802,35417,43311,46693
1152,4961,5710,7717,8359,9647,11038,13733
1153,7605,7852,11229,12503,14049,14162,17723
1154,10517,11063,18243,18745,24687,26350,29692
1155,7032,8861,14003,16185,19991,25430,27040
1156,11694,16414,20264,26040,33588,41420,46349
1157,27750,27922,27432,27246,28987,43075,41719
1158,14579,20477,24634,33603,47117,62467,71667
1159,10356,16404,20532,24910,29364,35021,45680
1160,9016,10426,12045,14298,18128,22180,25144
1161,14722,20596,28262,35907,44541,59956,71827
1162,82234,87921,100220,107791,113805,125891,134512
1163,16075,19002,22183,35102,40186,35017,47374
1164,28285,38457,33576,36051,42830,45644,48996
1165,11762,15404,18279,21514,29568,32838,36854
1166,49767,52795,57983,67130,73996,83177,93158
1167,11802,12411,15662,17774,18587,21269,24962
1168,12472,14946,20180,26519,31953,40069,47389
1169,8528,10903,13376,15232,17451,21664,25179
1170,22900,28860,40949,47433,54998,54445,63216
1171,14003,21627,30140,40621,47656,60091,79527
1172,8296,8630,9338,14210,19975,19053,22889
1173,5413,7250,11044,13246,15436,18842,19660
1174,7100,9717,13817,17937,23707,30321,36119
1175,3587,7135,12510,15303,15806,18781,23000
1176,92364,21488,26447,26931,28590,32233,36549
1177,12963,16536,18244,19067,22793,25726,29215
1178,28757,33581,43489,46210,53860,64570,71754
1179,11378,16142,18247,23642,25907,28904,35957
1180,11288,14470,19486,22475,24624,29583,34633
1181,22445,52856,64827,55345,58241,65544,69138
1182,51528,66670,74400,93893,104385,120578,139866
1183,121657,146701,166239,213923,257649,264246,333773
1184,145666,142983,170168,153614,160479,162689,179859
1185,13744,19059,23896,25752,33333,34399,42382
1186,13596,20592,21341,26294,29580,27373,53579
1187,9537,12639,15892,20270,21451,26358,31017
1188,22361,32344,34667,38379,39562,41205,49607
1189,0,0,0,0,0,0,0
1190,0,0,0,0,0,0,0
1191,0,0,0,0,0,0,0
1192,0,0,0,0,0,0,0
1193,0,0,0,0,0,0,0
1194,0,0,0,0,0,0,0
1195,0,0,0,0,0,0,0
1196,0,0,0,0,0,0,0
1197,0,0,0,0,0,0,0
1198,0,0,0,0,0,0,0
1199,0,0,0,0,0,0,0
1200,0,0,0,0,0,0,0
1201,0,0,0,0,0,0,0
1202,0,0,0,0,0,0,0
1203,0,0,0,0,0,0,0
1204,80402,81691,84299,85375,86334,88614,99396
1205,114218,126508,146151,164842,182404,187828,226988
1206,87622,90356,98806,101342,107012,119291,144752
1207,133005,145556,156352,175313,180980,203134,237149
1208,93596,102376,117801,132235,159314,166530,196006
1209,103128,109902,120168,149034,164639,150580,172717
1210,96450,98000,99373,104648,166468,167777,189358
1211,95651,94805,107025,129397,132069,134532,135938
1212,156658,155062,160421,155083,163050,174992,193659
